postcode_area,loc_case_count
CH,2377
B,2326
M,1518
OL,943
LU,880
RH,602
BL,548
G,542
E,263
ML,173
DE,152
CW,140
PA,130
ST,129
SW,121
EN,115
L,112
LE,90
BD,88
BB,86
WS,84
KY,83
WA,83
EH,79
IG,74
KA,72
HD,69
MK,67
SE,63
WV,61
NW,58
LL,56
WD,50
N,48
DY,44
CV,35
ME,35
TN,34
SK,33
PR,32
RM,32
CM,31
UB,30
KT,30
HA,30
HP,26
CR,26
NG,26
SL,25
WF,23
RG,22
BN,22
BS,21
WR,19
FK,19
TW,18
LS,15
SM,15
WN,14
DN,14
GU,14
IV,12
SA,12
NE,11
W,11
OX,10
TS,10
SG,10
S,10
PE,10
HX,8
NR,8
CT,8
SS,8
AL,8
AB,7
NN,7
IP,6
CF,6
DA,6
PH,5
SO,5
YO,5
SY,5
HR,5
BH,4
LN,4
GL,4
LA,3
TD,3
HU,3
DD,3
DG,3
FY,3
SP,2
CO,2
TF,2
PO,2
PL,2
SN,2
EC,1
NP,1
BJ,1
BR,1
GB,1
HG,1
LG,1
TA,1
DL,1
EX,1
WC,1
D,1
CA,1
GA,1
BT,1
