metric,value
everyrepairloc rows,22634
fulllist rows,33834
distinct principals (case data),440
principals active <12m,176
principals not used 12m,264
principals not used 48m,68
job-sheet providers (rows),58
job-sheet providers matched to EVA code (T2),52
job-sheet providers truly paper,2
garages on job sheet,38
garages matched to REPAIRER (T1),15
garages not in REPAIRER,19
REPAIRER records,70
REPAIRER never seen in Loc (T4),16
Loc full postcodes,5743
Loc partial postcodes,7474
Loc empty (no location),9400
exact Loc<->repairer cases,1722
LEGAL contacts,438
LEGAL contacts live (>=1 case),426
red-herring non-provider codes,20
truly unknown principals,2
