repairer_code,repairer_name,repairer_postcode,last_seen,exact_case_count,status
A2Z,A2Z Bodyshop Ltd,G78 2AG,,0,NEVER appeared
A76,A76 Recovery Ltd,KA5 6SA,,0,NEVER appeared
AGMORS,Agmors Coachworks Ltd,G14 0TR,,0,NEVER appeared
APEX,Apex Hire,B10,,0,NEVER appeared
ARC,Arc Fleet Services,PA15 4UQ,,0,NEVER appeared
BRASE,Brasenose Garage,L20 8HJ,,0,NEVER appeared
DENT,Dent Centre Glasgow,G53 7SP,,0,NEVER appeared
FW COV,FW - Cov,B10,,0,NEVER appeared
IMAGE,Image Based Assessment,,,0,NEVER appeared
LPB,LPB Body Repairs,G11 7SU,,0,NEVER appeared
M8REC,M8 Recovery Ltd,G52 4UW,,0,NEVER appeared
MCSH,McShanes Car Body Repair,EH22 3LL,,0,NEVER appeared
TASH,Thomas Ash & Sons,G32 6AS,,0,NEVER appeared
THOMAS ASH,Thomas Ash & Sons,G32 6AS,,0,NEVER appeared
TRADE,Tradeston Performance,G5 8QR,,0,NEVER appeared
UNDER,The Underground Garage,AB12 3BG,,0,NEVER appeared
ULTIMATE,Ultimate Car Body Repairs Ltd,G72 0YS,2021-12-03,1,dormant
PARKHEAD,Parkhead VRC,G31 5HP,2021-12-15,1,dormant
CALDER,Calder Coach Crafts Bodyshop,EH54 9BU,2022-01-07,2,dormant
EPAC,Ellesmere Port Auto Care,CH65 5EP,2023-06-22,1,dormant
BOTH,Bothwell Accident Repair Centre,ML3 0DW,2023-08-22,2,dormant
